CUE, TARGET, FSG
ABOVE, OVER,0.043
ABOVE, TOP,0.036
ABOVE, AVERAGE,0.014
ABOVE, CLOUD,0.014
ABOVE, SKY,0.014
ABSENCE, GOOD,0.145
ABSENCE, PRESENT,0.099
ABSENCE, MISSING,0.086
ABSENCE, SICK,0.079
ABSENCE, PRESENCE,0.059
ABSENCE, TARDY,0.046
ABSENCE, ATTENDANCE,0.039
ABSENCE, NOT THERE,0.033
ABSENCE, AWAY,0.026
ABSENCE, CLASS,0.026
ABSENCE, HERE,0.026
ABSENCE, SCHOOL,0.02
ABSENCE, ALONE,0.013
ABSENCE, EMPTY,0.013
ABSENCE, EXCUSE,0.013
ABSENCE, ILLNESS,0.013
ABSENCE, KIDS,0.013
ABSENCE, MIND,0.013
ABSENCE, NOT,0.013
ABSENCE, VOID,0.013
ABSENCE, WITHDRAWAL,0.013
ABSENCE, WITHOUT,0.013
ABSENT, PRESENT,0.294
ABSENT, GONE,0.133
ABSENT, MINDED,0.091
ABSENT, MISSING,0.077
ABSENT, HERE,0.056
ABSENT, SICK,0.056
ABSENT, NOT HERE,0.042
ABSENT, SCHOOL,0.042
ABSENT, TARDY,0.035
ABSENT, AWAY,0.021
ABSENT, LOST,0.021
ABSENT, THERE,0.014
ABSTRACT, ART,0.233
ABSTRACT, PAINTING,0.103
ABSTRACT, CONCRETE,0.041
ABSTRACT, DIFFERENT,0.041
ABSTRACT, WEIRD,0.034
ABSTRACT, UNCLEAR,0.027
ABSTRACT, MIND,0.021
ABSTRACT, THOUGHT,0.021
ABSTRACT, WILD,0.021
ABSTRACT, BLACK,0.014
ABSTRACT, COMPLEX,0.014
ABSTRACT, DRAW,0.014
ABSTRACT, GEOMETRY,0.014
ABSTRACT, IDEA,0.014
ABSTRACT, MATH,0.014
ABSTRACT, PICASSO,0.014
ABSTRACT, THINK,0.014
ABSTRACT, UNREAL,0.014
ABSURD, RIDICULOUS,0.268
ABSURD, CRAZY,0.137
ABSURD, STUPID,0.137
ABSURD, WEIRD,0.052
ABSURD, STRANGE,0.039
ABSURD, DUMB,0.033
ABSURD, NONSENSE,0.026
ABSURD, SILLY,0.026
ABSURD, OUTRAGEOUS,0.02
ABSURD, UNBELIEVABLE,0.02
ABSURD, UNHEARD OF,0.02
ABSURD, FUNNY,0.013
ABSURD, IMPOSSIBLE,0.013
ABSURD, LUDICROUS,0.013
ABUNDANCE, LOTS,0.224
ABUNDANCE, PLENTY,0.125
ABUNDANCE, MANY,0.079
ABUNDANCE, MONEY,0.039
ABUNDANCE, FOOD,0.033
ABUNDANCE, MUCH,0.033
ABUNDANCE, LACK,0.026
ABUNDANCE, SCARCITY,0.026
ABUNDANCE, FULL,0.02
ABUNDANCE, EXCESS,0.013
ABUNDANCE, FAMINE,0.013
ABUNDANCE, LARGE,0.013
ABUNDANCE, LITTLE,0.013
ABUNDANCE, MORE,0.013
ABUNDANCE, MYRIAD,0.013
ABUNDANCE, OVERWHELMING,0.013
ABUNDANCE, PEOPLE,0.013
ABUNDANCE, PLETHORA,0.013
ABUNDANCE, TREES,0.013
ABUNDANCE, VARIETY,0.013
ABUNDANCE, WATER,0.013
ABUSE, CHILD,0.293
ABUSE, HURT,0.141
ABUSE, HIT,0.091
ABUSE, BEAT,0.076
ABUSE, NEGLECT,0.066
ABUSE, DRUG,0.045
ABUSE, MISTREAT,0.045
ABUSE, ALCOHOL,0.03
ABUSE, BAD,0.025
ABUSE, PAIN,0.025
ABUSE, USE,0.015
ABUSE, VIOLENT,0.015
ABUSE, FIGHT,0.01
ABUSE, SEXUAL,0.01
ABUSE, SPOUSE,0.01
ACCELERATE, SPEED,0.386
ACCELERATE, FAST,0.271
ACCELERATE, CAR,0.114
ACCELERATE, DECELERATE,0.029
ACCELERATE, GAS,0.029
ACCELERATE, INCREASE,0.029
ACCELERATE, GO,0.014
ACCELERATE, PEDAL,0.014
ACCELERATE, RACE,0.014
ACCELERATE, SLOW,0.014
ACCELERATE, STOP,0.014
ACCEPT, TAKE,0.168
ACCEPT, REJECT,0.107
ACCEPT, DENY,0.094
ACCEPT, AGREE,0.074
ACCEPT, UNDERSTAND,0.047
ACCEPT, ALLOW,0.034
ACCEPT, BELIEVE,0.027
ACCEPT, ACKNOWLEDGE,0.02
ACCEPT, UNACCEPTABLE,0.02
ACCEPT, EXCEPT,0.013
ACCEPT, GIFT,0.013
ACCEPT, GIVE,0.013
ACCEPT, GOOD,0.013
ACCEPT, LIKE,0.013
ACCEPT, MONEY,0.013
ACCEPT, RECEIVE,0.013
ACCEPT, WANT,0.013
ACCEPT, YES,0.013
ACCIDENT, CAR,0.358
ACCIDENT, CRASH,0.128
ACCIDENT, MISTAKE,0.074
ACCIDENT, WRECK,0.054
ACCIDENT, INJURY,0.034
ACCIDENT, BAD,0.027
ACCIDENT, UNINTENTIONAL,0.027
ACCIDENT, HURT,0.02
ACCIDENT, PAIN,0.02
ACCIDENT, PRONE,0.02
ACCIDENT, PURPOSE,0.02
ACCIDENT, VICTIM,0.02
ACCIDENT, AMBULANCE,0.014
ACCIDENT, DANGER,0.014
ACCIDENT, FALL,0.014
ACCIDENT, MISHAP,0.014
ACCIDENT, OOPS,0.014
ACCIDENT, PROBLEM,0.014
ACCIDENT, SORRY,0.014
ACCIDENT, TRAGEDY,0.014
ACCOMPLISH, FINISH,0.34
ACCOMPLISH, DO,0.143
ACCOMPLISH, ACHIEVE,0.122
ACCOMPLISH, GOAL,0.075
ACCOMPLISH, SUCCEED,0.075
ACCOMPLISH, COMPLETE,0.054
ACCOMPLISH, WIN,0.027
ACCOMPLISH, NOTHING,0.02
ACCOMPLISHED, FINISHED,0.162
ACCOMPLISHED, DONE,0.122
ACCOMPLISHED, GOAL,0.074
ACCOMPLISHED, SUCCESSFUL,0.074
ACCOMPLISHED, ACHIEVEMENT,0.068
ACCOMPLISHED, WRITER,0.034
ACCOMPLISHED, GOOD,0.027
ACCOMPLISHED, PROUD,0.027
ACCOMPLISHED, ATTAINED,0.02
ACCOMPLISHED, DID,0.02
ACCOMPLISHED, COMPLETED,0.014
ACCOMPLISHED, ESTABLISHED,0.014
ACCOMPLISHED, GRADUATED,0.014
ACCOMPLISHED, HAPPY,0.014
ACCOMPLISHED, PIANIST,0.014
ACCOMPLISHED, PRODUCTIVE,0.014
ACCOMPLISHED, SMART,0.014
ACCOMPLISHED, TALENTED,0.014
ACCOMPLISHED, WORK,0.014
ACCOUNT, MONEY,0.312
ACCOUNT, BANK,0.277
ACCOUNT, NUMBER,0.092
ACCOUNT, CHECKING,0.035
ACCOUNT, BOOK,0.021
ACCOUNT, CHARGE,0.021
ACCOUNT, CHECKBOOK,0.021
ACCOUNT, FOR,0.021
ACCOUNT, LIST,0.021
ACCOUNT, ANTE,0.014
ACCOUNT, BALANCE,0.014
ACCOUNT, LOG,0.014
ACCOUNT, SAVINGS,0.014
ACCOUNT, STORE,0.014
ACCUMULATE, GATHER,0.205
ACCUMULATE, COLLECT,0.159
ACCUMULATE, PILE,0.066
ACCUMULATE, ADD,0.053
ACCUMULATE, BUILD,0.04
ACCUMULATE, GAIN,0.04
ACCUMULATE, ACQUIRE,0.026
ACCUMULATE, CLUTTER,0.026
ACCUMULATE, GROW,0.02
ACCUMULATE, MONEY,0.02
ACCUMULATE, SAVE,0.02
ACCUMULATE, STORE,0.02
ACCUMULATE, WEALTH,0.02
ACCUMULATE, ADDITION,0.013
ACCUMULATE, AMASS,0.013
ACCUMULATE, LOTS,0.013
ACCUMULATE, NUMBERS,0.013
ACCUMULATE, PAPER,0.013
ACCUMULATE, THINGS,0.013
ACCUMULATE, TOGETHER,0.013
ACCURATE, CORRECT,0.215
ACCURATE, RIGHT,0.168
ACCURATE, PRECISE,0.134
ACCURATE, TRUE,0.04
ACCURATE, EXACT,0.027
ACCURATE, FALSE,0.02
ACCURATE, CALCULATOR,0.013
ACCURATE, CLOSE,0.013
ACCURATE, CONCISE,0.013
ACCURATE, DETAILED,0.013
ACCURATE, GOOD,0.013
ACCURATE, INACCURATE,0.013
ACCURATE, PERFECT,0.013
ACCURATE, STRAIGHT,0.013
ACCURATE, WRONG,0.013
ACCUSE, BLAME,0.159
ACCUSE, GUILTY,0.098
ACCUSE, CRIME,0.038
ACCUSE, GUILT,0.038
ACCUSE, PROSECUTE,0.038
ACCUSE, VICTIM,0.038
ACCUSE, COURT,0.03
ACCUSE, LAWYER,0.03
ACCUSE, POINT,0.03
ACCUSE, DEFEND,0.023
ACCUSE, DENY,0.023
ACCUSE, JUDGE,0.023
ACCUSE, LIE,0.023
ACCUSE, TELL,0.023
ACCUSE, TRIAL,0.023
ACCUSE, YELL,0.023
ACCUSE, CHARGE,0.015
